frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
34876	873.098174000	-46.4681	66.9714	78.108	1320964.01852821	-4338818.89119921	4475919.31344908
34982	873.331600000	-46.4645	66.9596	78.1203	1320953.17647039	-4338803.26580627	4475937.53931172
35055	873.498343000	-46.4645	66.9599	78.12	1320945.43210741	-4338792.10464431	4475950.55762047
35126	873.681759000	-46.4664	66.9697	78.1043	1320936.9133034	-4338779.82727687	4475964.87762972
35386	874.282061000	-46.4664	66.9707	78.1035	1320909.03360056	-4338739.64660833	4476011.74312727
35605	874.832300000	-46.4682	66.974	78.1057	1320883.47717883	-4338702.8138019	4476054.70274957
35666	874.982423000	-46.4665	66.9718	78.1025	1320876.50727959	-4338692.76849158	4476066.41896595
35868	875.482608000	-46.4665	66.9725	78.1019	1320853.2741682	-4338659.28360072	4476105.47267423
36148	876.132950000	-46.4682	66.9761	78.1039	1320823.07111809	-4338615.75270415	4476156.2420812
36214	876.299735000	-46.4645	66.9642	78.1163	1320815.32680508	-4338604.59102236	4476169.259974
36284	876.483142000	-46.4665	66.9741	78.1005	1320806.8079884	-4338592.31286091	4476183.57929493
36511	877.050064000	-46.4665	66.975	78.0997	1320780.47709509	-4338554.36193357	4476227.83895727
36672	877.400433000	-46.4683	66.978	78.1022	1320764.21392845	-4338530.9215522	4476255.17578962
36675	877.416933000	-46.4665	66.9755	78.0993	1320763.43948658	-4338529.80529344	4476256.47744393
36920	878.017235000	-46.4665	66.9765	78.0985	1320735.55972847	-4338489.62116013	4476303.33993788
37147	878.600862000	-46.4683	66.9799	78.1006	1320708.45440386	-4338450.55275969	4476348.90032159
37235	878.800953000	-46.4683	66.9802	78.1003	1320699.16116681	-4338437.15781173	4476364.52095912
37312	878.967736000	-46.4683	66.9804	78.1001	1320691.41678136	-4338425.9952405	4476377.53804616
37400	879.201162000	-46.4683	66.9808	78.0998	1320680.57462828	-4338410.3675282	4476395.76186346
37484	879.384608000	-46.4629	66.9664	78.1092	1320672.05586001	-4338398.08874639	4476410.08068127
37712	879.918177000	-46.4629	66.9673	78.1085	1320647.27384111	-4338362.36796682	4476451.73489539
37941	880.468449000	-46.4683	66.9828	78.0981	1320621.71734307	-4338325.53036803	4476494.69036304
